date,product_id,product_name,category,brand,market,unit_price_eur,unit_cost_eur,units_sold,web_sessions,ad_spend_eur
2024-01-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,81,7.94
2024-01-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,21,2.29
2024-01-01,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,14,1.27
2024-01-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,52,2.73
2024-01-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,22,1.36
2024-01-02,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,17,1.99
2024-01-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,43,5.02
2024-01-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,24,2.76
2024-01-03,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,14,0.85
2024-01-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,3,60,5.6
2024-01-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,24,1.65
2024-01-04,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,12,0.65
2024-01-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,60,5.29
2024-01-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,21,1.5
2024-01-05,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,20,1.55
2024-01-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,4,48,5.46
2024-01-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,18,2.04
2024-01-06,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,8,0.55
2024-01-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,55,6.18
2024-01-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,1,24,2.06
2024-01-07,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,14,1.17
2024-01-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,78,5.41
2024-01-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,19,0.95
2024-01-08,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,19,1.3
2024-01-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,58,5.71
2024-01-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,21,1.78
2024-01-09,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,1,7,0.55
2024-01-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,56,4.43
2024-01-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,18,2.03
2024-01-10,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,8,0.57
2024-01-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,48,2.73
2024-01-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,26,2.12
2024-01-11,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,14,0.9
2024-01-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,0,44,2.93
2024-01-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,19,2.15
2024-01-12,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,13,0.68
2024-01-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,52,3.69
2024-01-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,19,1.93
2024-01-13,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,6,0.4
2024-01-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,2,65,4.21
2024-01-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,19,1.95
2024-01-14,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,17,1.69
2024-01-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,3,61,7.19
2024-01-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,17,1.36
2024-01-15,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,CH,95.95,43.72,0,10,0.9
2024-01-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,DE,86.95,43.72,1,72,5.98
2024-01-16,SKU-1000,Pendant Light 'Malia',Pendant Lights,Casaluce,FR,89.95,43.72,0,20,1.5
